Date,Price,Open,High,Low,Vol.,Change %
"Feb 10, 2020","5,282.06","5,278.09","5,284.46","5,254.98",56.29M,-0.15%
"Feb 07, 2020","5,289.93","5,280.85","5,291.67","5,268.13",43.05M,0.05%
"Feb 06, 2020","5,287.35","5,336.12","5,356.59","5,284.88",67.60M,-0.29%
"Feb 05, 2020","5,302.88","5,264.02","5,309.00","5,262.72",60.13M,0.74%
"Feb 04, 2020","5,264.14","5,248.90","5,280.18","5,243.59",54.21M,0.75%
"Feb 03, 2020","5,225.04","5,248.19","5,250.99","5,208.56",44.58M,-0.51%
"Jan 31, 2020","5,252.03","5,272.47","5,274.89","5,236.18",55.10M,0.11%
"Jan 30, 2020","5,246.00","5,257.72","5,265.06","5,226.40",54.38M,-0.25%
"Jan 29, 2020","5,259.35","5,259.80","5,279.42","5,246.56",44.44M,0.31%
"Jan 28, 2020","5,243.32","5,219.28","5,247.21","5,195.18",51.27M,1.24%
"Jan 27, 2020","5,178.89","5,237.36","5,244.96","5,178.89",63.79M,-2.04%
"Jan 24, 2020","5,286.48","5,272.33","5,306.04","5,250.57",45.82M,0.99%
"Jan 23, 2020","5,234.74","5,243.93","5,273.93","5,231.07",46.54M,-0.55%
"Jan 22, 2020","5,263.81","5,288.78","5,295.17","5,259.65",47.91M,-0.23%
"Jan 21, 2020","5,276.12","5,272.79","5,289.69","5,257.92",58.85M,-0.52%
"Jan 20, 2020","5,303.81","5,315.71","5,316.99","5,279.15",46.12M,-0.08%
"Jan 17, 2020","5,307.98","5,325.06","5,338.65","5,307.78",50.02M,0.02%
"Jan 16, 2020","5,306.80","5,320.61","5,321.74","5,288.03",57.49M,0.07%
"Jan 15, 2020","5,303.13","5,330.67","5,336.16","5,298.76",64.99M,0.21%
"Jan 14, 2020","5,292.22","5,274.16","5,292.22","5,240.59",39.93M,0.61%
"Jan 13, 2020","5,260.04","5,262.63","5,271.26","5,247.11",36.18M,0.04%
"Jan 10, 2020","5,257.92","5,240.06","5,258.78","5,221.63",31.63M,0.55%
"Jan 09, 2020","5,229.19","5,242.39","5,255.71","5,227.11",51.79M,0.04%
"Jan 08, 2020","5,226.97","5,207.96","5,226.97","5,182.15",49.53M,-0.06%
"Jan 07, 2020","5,230.07","5,235.90","5,264.35","5,230.07",47.11M,-0.11%
"Jan 06, 2020","5,235.90","5,215.54","5,238.38","5,178.25",61.35M,-0.12%
"Jan 03, 2020","5,242.13","5,246.93","5,253.81","5,217.29",57.64M,-0.45%
"Jan 02, 2020","5,265.78","5,239.19","5,272.43","5,226.67",68.31M,0.99%
"Dec 31, 2019","5,214.14","5,238.23","5,238.23","5,210.46",19.36M,-0.43%
"Dec 30, 2019","5,236.59","5,264.97","5,272.71","5,236.59",39.81M,-0.62%
"Dec 27, 2019","5,269.31","5,223.43","5,281.12","5,223.43",49.40M,0.73%
"Dec 24, 2019","5,231.29","5,220.27","5,241.70","5,211.05",8.62M,-0.17%
"Dec 23, 2019","5,240.08","5,241.67","5,248.63","5,218.92",37.92M,0.00%
"Dec 20, 2019","5,240.09","5,230.04","5,243.06","5,211.25",82.70M,0.41%
"Dec 19, 2019","5,218.51","5,201.78","5,218.51","5,188.63",56.46M,0.33%
"Dec 18, 2019","5,201.24","5,229.00","5,234.37","5,196.92",56.26M,-0.34%
"Dec 17, 2019","5,218.84","5,209.78","5,233.55","5,209.78",42.08M,-0.04%
"Dec 16, 2019","5,221.09","5,213.01","5,235.49","5,213.01",45.44M,0.34%
"Dec 13, 2019","5,203.38","5,234.78","5,246.35","5,192.27",133.15M,0.15%
"Dec 12, 2019","5,195.54","5,151.68","5,210.95","5,146.61",57.46M,0.90%
"Dec 11, 2019","5,148.97","5,147.00","5,163.51","5,129.14",38.38M,0.01%
"Dec 10, 2019","5,148.63","5,148.38","5,159.66","5,124.34",33.67M,-0.25%
"Dec 09, 2019","5,161.51","5,170.49","5,178.37","5,152.05",38.87M,-0.22%
"Dec 06, 2019","5,172.86","5,135.83","5,176.35","5,124.46",37.78M,0.86%
"Dec 05, 2019","5,128.87","5,123.40","5,155.08","5,116.99",41.80M,0.09%
"Dec 04, 2019","5,124.40","5,066.38","5,128.60","5,051.96",46.37M,1.72%
"Dec 03, 2019","5,037.61","5,099.12","5,099.76","5,037.61",65.13M,-0.99%
"Dec 02, 2019","5,088.04","5,149.89","5,161.43","5,088.04",57.85M,-0.77%
