Date,Price,Open,High,Low,Vol.,Change %
"Feb 07, 2020",863.49,862.71,865.91,858.02,72.83K,0.07%
"Feb 06, 2020",862.86,845.38,862.86,842.68,97.62K,2.08%
"Feb 05, 2020",845.31,845.65,854.72,840.41,63.59K,-0.02%
"Feb 04, 2020",845.52,842.79,849.8,833.93,73.13K,0.34%
"Feb 03, 2020",842.67,848.42,848.42,803.73,91.77K,-0.70%
"Jan 31, 2020",848.63,875.43,876.59,848.63,83.27K,-3.10%
"Jan 30, 2020",875.82,908.2,908.2,870.53,80.14K,-3.66%
"Jan 22, 2020",909.09,906.52,909.41,903.27,51.71K,0.28%
"Jan 21, 2020",906.52,897.97,907.51,897.97,57.33K,1.02%
"Jan 20, 2020",897.4,894.6,897.4,891.75,39.72K,0.29%
"Jan 17, 2020",894.84,891.66,897.63,891.36,48.88K,0.32%
"Jan 16, 2020",891.96,885.36,892.2,883.83,63.48K,0.75%
"Jan 15, 2020",885.36,884.95,886.33,882.79,35.67K,0.07%
"Jan 14, 2020",884.77,881.77,886.83,880.58,50.68K,0.34%
"Jan 13, 2020",881.79,885.52,885.52,881.35,32.55K,-0.42%
"Jan 10, 2020",885.52,877.85,888.09,877.7,72.86K,0.88%
"Jan 09, 2020",877.76,867.27,878.43,867.27,45.71K,1.45%
"Jan 08, 2020",865.18,876.64,876.64,861.51,53.10K,-1.31%
"Jan 07, 2020",876.7,872.32,877.34,870.49,40.28K,0.50%
"Jan 06, 2020",872.34,882.51,882.51,872.34,36.87K,-1.24%
"Jan 03, 2020",883.28,887.11,890.38,883.18,43.22K,-0.41%
"Jan 02, 2020",886.88,879.02,886.88,876.87,50.39K,0.89%
"Dec 31, 2019",879.06,880.42,881.98,876.66,44.43K,-0.14%
"Dec 30, 2019",880.29,876.61,881.27,876.13,33.52K,0.45%
"Dec 27, 2019",876.38,872.11,876.38,867.95,26.81K,0.49%
"Dec 26, 2019",872.07,873.17,874.87,869.57,40.38K,-0.13%
"Dec 25, 2019",873.18,869.93,874.93,869.22,53.69K,0.38%
"Dec 24, 2019",869.88,868.14,869.9,864.86,57.93K,0.19%
"Dec 23, 2019",868.2,868.37,872.75,867.92,72.19K,-0.02%
"Dec 20, 2019",868.37,862.23,869.52,862.23,69.39K,0.71%
"Dec 19, 2019",862.23,863.16,867.25,858.76,68.01K,-0.11%
"Dec 18, 2019",863.16,866.61,867.69,861.05,69.57K,-0.49%
"Dec 17, 2019",867.44,876.5,877.63,867.13,72.41K,-1.05%
"Dec 16, 2019",876.65,880.55,880.55,874.06,67.01K,-0.44%
"Dec 13, 2019",880.55,884.98,888.53,880.55,65.82K,-0.48%
"Dec 12, 2019",884.8,878.27,885.73,878.27,57.45K,0.74%
"Dec 11, 2019",878.27,873.38,878.27,869.15,66.72K,0.59%
"Dec 10, 2019",873.16,879.95,880.22,870.25,72.50K,-0.77%
"Dec 09, 2019",879.94,880.39,882.58,876.01,64.15K,-0.06%
"Dec 06, 2019",880.43,878.28,882.59,875.99,60.75K,0.13%
"Dec 05, 2019",879.32,883.33,886.36,878.39,61.68K,-0.48%
"Dec 04, 2019",883.56,868.79,883.56,865.31,74.53K,1.71%
"Dec 03, 2019",868.68,874.9,877.96,865.74,77.47K,-0.73%
"Dec 02, 2019",875.1,887.47,889.47,875.1,76.46K,-1.39%
