Date,Price,Open,High,Low,Vol.,Change %
"Feb 19, 2020","44,901.50","45,046.02","45,166.03","44,716.31",174.54M,-0.16%
"Feb 18, 2020","44,974.11","44,991.01","45,183.58","44,901.04",133.30M,-0.10%
"Feb 17, 2020","45,016.96","44,996.42","45,059.67","44,873.48",32.14M,0.04%
"Feb 14, 2020","44,999.68","45,122.58","45,150.35","44,850.51",131.04M,-0.01%
"Feb 13, 2020","45,005.12","45,338.37","45,338.37","44,784.21",177.63M,-0.74%
"Feb 12, 2020","45,338.37","45,193.58","45,645.93","45,143.69",271.16M,0.69%
"Feb 11, 2020","45,027.41","44,379.18","45,222.90","44,307.47",151.71M,1.66%
"Feb 10, 2020","44,290.53","44,390.36","44,421.42","43,996.80",127.40M,-0.25%
"Feb 07, 2020","44,399.33","44,407.16","44,466.30","44,010.71",109.89M,-0.21%
"Feb 06, 2020","44,493.15","44,870.06","44,966.37","44,417.10",140.86M,-0.65%
"Feb 05, 2020","44,782.86","45,252.61","45,489.25","44,686.96",160.08M,-0.59%
"Feb 04, 2020","45,047.07","44,330.97","45,136.82","44,330.97",230.42M,2.13%
"Jan 31, 2020","44,108.31","44,759.90","44,829.92","44,079.39",312.76M,-1.68%
"Jan 30, 2020","44,862.76","45,088.10","45,088.10","44,635.92",160.39M,-0.60%
"Jan 29, 2020","45,132.60","44,858.38","45,198.71","44,683.59",166.38M,0.93%
"Jan 28, 2020","44,717.94","44,206.68","44,811.52","44,206.68",126.85M,1.32%
"Jan 27, 2020","44,134.39","44,802.73","44,807.83","44,039.11",126.49M,-2.23%
"Jan 24, 2020","45,141.62","45,493.97","45,528.68","45,091.65",142.72M,-0.74%
"Jan 23, 2020","45,476.43","45,502.34","45,516.78","45,145.98",198.09M,-0.28%
"Jan 22, 2020","45,604.44","45,658.66","45,902.26","45,562.29",158.78M,-0.07%
"Jan 21, 2020","45,637.32","45,807.23","45,831.29","45,380.99",135.38M,-0.58%
"Jan 20, 2020","45,902.68","45,811.16","45,955.41","45,755.93",32.10M,0.19%
"Jan 17, 2020","45,817.76","45,311.73","45,885.44","45,256.31",173.86M,1.14%
"Jan 16, 2020","45,303.08","44,530.69","45,354.53","44,513.47",190.18M,1.91%
"Jan 15, 2020","44,453.33","44,726.72","44,848.07","44,412.61",179.45M,-0.71%
"Jan 14, 2020","44,773.24","44,804.55","44,818.93","44,379.38",171.98M,-0.17%
"Jan 13, 2020","44,847.47","44,720.35","44,944.25","44,584.66",149.58M,0.42%
"Jan 10, 2020","44,660.33","44,593.89","44,909.44","44,529.51",135.84M,0.20%
"Jan 09, 2020","44,572.17","44,452.74","44,621.58","44,378.78",173.85M,0.23%
"Jan 08, 2020","44,470.91","44,160.55","44,515.99","44,078.41",144.63M,0.71%
"Jan 07, 2020","44,157.81","44,522.36","44,588.27","44,018.06",137.55M,-0.76%
"Jan 06, 2020","44,495.30","44,489.97","44,571.74","44,287.13",86.93M,-0.29%
"Jan 03, 2020","44,624.85","44,355.21","44,742.98","44,177.91",103.48M,0.42%
"Jan 02, 2020","44,437.23","43,739.52","44,521.52","43,716.49",95.18M,2.06%
"Dec 31, 2019","43,541.02","43,668.71","43,705.36","43,439.68",46.72M,-0.27%
"Dec 30, 2019","43,657.48","44,318.90","44,347.74","43,451.49",81.80M,-1.36%
"Dec 27, 2019","44,261.51","44,312.57","44,510.78","44,156.86",59.48M,-0.09%
"Dec 26, 2019","44,300.17","44,149.97","44,360.62","44,057.49",32.19M,0.32%
"Dec 24, 2019","44,157.97","44,275.79","44,298.94","44,108.45",13.69M,-0.27%
"Dec 23, 2019","44,276.85","44,571.26","44,590.93","44,189.24",92.13M,-0.51%
"Dec 20, 2019","44,505.64","44,694.45","44,804.44","44,424.46",473.71M,-0.32%
"Dec 19, 2019","44,649.43","45,189.12","45,189.83","44,615.43",130.33M,-1.01%
"Dec 18, 2019","45,106.29","44,384.05","45,160.10","44,366.36",279.77M,1.59%
"Dec 17, 2019","44,401.16","44,400.58","44,434.19","44,118.06",194.93M,0.10%
"Dec 16, 2019","44,356.22","44,343.18","44,495.49","44,136.64",117.21M,0.23%
"Dec 13, 2019","44,254.43","43,415.22","44,401.01","43,415.22",163.26M,2.45%
"Dec 11, 2019","43,195.19","42,639.59","43,237.25","42,592.02",160.65M,1.32%
"Dec 10, 2019","42,633.43","42,037.54","42,649.63","41,986.28",124.12M,1.63%
"Dec 09, 2019","41,951.59","41,938.69","42,370.15","41,924.21",90.51M,0.03%
"Dec 06, 2019","41,938.69","42,307.99","42,343.80","41,894.75",119.34M,-0.66%
"Dec 05, 2019","42,216.03","42,216.30","42,513.25","42,171.99",118.81M,0.06%
"Dec 04, 2019","42,191.92","42,354.90","42,496.33","42,159.29",131.99M,-0.24%
"Dec 03, 2019","42,294.52","42,417.57","42,508.67","42,255.72",107.72M,-0.59%
"Dec 02, 2019","42,544.14","42,863.35","42,903.78","42,508.10",140.66M,-0.64%
